Desc_Resp_Cerrada,MARITAL_STATUS_CODE,EDAD,MODELO_ATENCION,FRECUENCIA_ENCUESTAS,VISITAS_CAJA,ESPERA_SEQ1
2,S,42,NORMAL,1,1,9.26
10,S,33,RENTA_MASIVA,1,1,
7,S,38,RENTA_MASIVA,1,1,
8,C,46,PREMIUM,2,1,9.93
9,S,37,NORMAL,1,1,
10,S,41,PREMIUM,2,1,11.86
9,C,54,RENTA_MASIVA,2,1,15.9
10,C,63,EMPRESAS,1,2,11.78
8,S,43,NORMAL,2,5,12.16
7,S,43,NORMAL,1,1,8.68
10,S,70,RENTA_MASIVA,1,1,22.18
10,C,42,PREMIUM,1,1,6.63
10,C,57,PREMIUM,1,1,
7,C,65,NORMAL,1,1,3.35
8,C,53,RENTA_MASIVA,1,1,26.2
9,S,48,PREMIUM,8,1,
10,C,44,PREMIUM,3,1,2.43
9,S,54,NORMAL,1,2,
9,C,42,PREMIUM,1,3,
10,S,55,RENTA_MASIVA,1,1,11.21
9,S,40,EMPRESAS,1,1,5.45
10,C,64,PREMIUM,2,1,11.28
10,C,67,PREMIUM,4,2,
4,S,49,PREMIUM,1,1,3.51
10,S,42,PREMIUM,4,1,1.58
10,C,60,PREMIUM,4,2,3.4
10,C,47,RENTA_MASIVA,2,1,
10,S,62,PREMIUM,1,4,3.05
10,C,61,NORMAL,2,1,7.66
9,S,54,RENTA_MASIVA,1,2,2.05
10,S,42,RENTA_MASIVA,1,1,20.03
9,C,52,RENTA_MASIVA,1,1,20.9
10,C,48,NORMAL,2,1,26.71
4,C,39,NORMAL,1,1,38.01
6,C,48,NORMAL,2,3,23.38
4,S,51,RENTA_MASIVA,1,2,45.98
9,S,47,EMPRESAS,1,1,17.48
8,S,75,RENTA_MASIVA,2,1,57.15
3,S,43,RENTA_MASIVA,1,8,15.13
10,C,64,PREMIUM,2,2,9.05
6,S,44,RENTA_MASIVA,1,1,8.15
9,C,57,RENTA_MASIVA,1,2,0.26
8,S,64,PREMIUM,3,1,4.55
10,S,43,RENTA_MASIVA,1,1,25.1
9,C,58,PREMIUM,2,2,38.21
2,C,54,NORMAL,1,1,53.76
1,C,50,NORMAL,1,1,20.76
7,C,37,RENTA_MASIVA,1,1,27.46
8,S,43,PREMIUM,3,1,9.28
10,C,49,PREMIUM,2,5,7.05
5,S,50,RENTA_MASIVA,1,3,21.1
1,S,42,RENTA_MASIVA,1,1,75.86
6,C,41,PREMIUM,4,3,23.55
9,C,56,NORMAL,1,1,12.5
10,S,50,RENTA_MASIVA,1,2,
1,C,52,RENTA_MASIVA,1,1,
9,S,28,NORMAL,1,1,14
8,C,45,PREMIUM,1,1,5.21
8,C,54,RENTA_MASIVA,1,1,0.33
10,S,55,PREMIUM,3,1,1.71
8,S,38,RENTA_MASIVA,1,2,3.61
8,S,36,NORMAL,2,1,9.28
5,S,36,PREMIUM,2,4,17.73
10,S,42,EMPRESAS,1,2,10.78
10,S,36,RENTA_MASIVA,1,1,5.21
