id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,price_period,title
ykWHwRCQlr3EaYrt1ZIMEQ==,Propiedad,2019-11-22,2019-12-05,2019-11-22,-34.722898,-58.30046,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,3.0,2.0,1.0,116.0,91.0,92000.0,,VENTA PH DOS DORMITORIOS BERNAL QUILMES
ykrNMIN5ctYJZs5shDjQgw==,Propiedad,2020-02-22,9999-12-31,2020-02-22,-38.951258,-68.112636,Argentina,Neuquén,Confluencia,,,,6.0,4.0,2.0,168.0,168.0,150000.0,,Casa en ph en venta - Huiliches Neuquen  - 4 dorm
yl0EkfPt32ESNDaIOhQT9w==,Propiedad,2019-05-04,9999-12-31,2019-05-04,-36.685404,-56.6903554,Argentina,Buenos Aires Costa Atlántica,San Bernardo,,,,,3.0,2.0,90.0,75.0,70000.0,,"Venta Duplex, 4 ambientes, San Bernardo"
ylGlRWicZUJDmB6VRZbmlQ==,Propiedad,2020-04-04,9999-12-31,2020-04-04,-34.6395944517,-58.64352298,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,,,,3.0,2.0,1.0,,,95000.0,,Casa PH en Venta Cond en Castelar Norte
ylIEPk9qAUPe0YUy3A88SQ==,Propiedad,2020-04-01,2020-04-03,2020-04-01,,,Argentina,Capital Federal,Nuñez,,,,5.0,3.0,2.0,160.0,92.0,360000.0,,Ph de 5 ambientes con terraza y balcón
ylLtBujwoB0xKOslWMpOAA==,Propiedad,2019-12-28,2020-01-21,2019-12-28,-34.618053,-58.40750500000001,Argentina,Capital Federal,Balvanera,,,,3.0,2.0,1.0,177.0,98.0,225000.0,,PH EN PB ENTRADA INDEP CON COCHERA PATIO Y TERRAZA
ylML8eEWJgvhoV8f3oKmaQ==,Propiedad,2019-08-20,9999-12-31,2019-08-20,-34.6636054,-58.7352726,Argentina,Bs.As. G.B.A. Zona Oeste,Merlo,,,,,,,,,70000.0,Mensual,Venta Departamento PH frente PA 2 ambientes y terraza 50 m2 a estrenar sin expensas en Merlo Sur
yldEICPiOLZSrxpoBt6Bcg==,Propiedad,2019-12-16,2019-12-17,2019-12-16,-32.967283,-60.6521216,Argentina,Santa Fe,,,,,3.0,2.0,1.0,,,74000.0,,VENTA CASA  INTERNA ÚNICA 2 DORM. PATIO. ( ESPAÑA 2700.)  NO PH
ylrPbizII6LZOOXBAsIPOA==,Propiedad,2020-02-15,9999-12-31,2020-02-15,-34.666934000000005,-58.385115,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,,,,3.0,2.0,1.0,170.0,93.0,81000.0,,PH 4 AMB CON TERRAZA EN AVELLANEDA
ym/8aH6nIbz9TpjdB1zsXg==,Propiedad,2019-10-31,2019-11-09,2019-10-31,-34.592729020300006,-58.450478671400006,Argentina,Capital Federal,Chacarita,,,,6.0,4.0,3.0,194.0,194.0,480000.0,,PH Departamento tipo casa 5/6 amb Parque Los Andes
