id,property_type,Barrio,lat,lon,Dist a Comisaria (km),Distancia a Hospital  Publico(km),Distancia a Estación Subte (km),Distancia a Biblioteca (km),Distancia a punto de Wifi  público(km),Distancia a Escuela Privada,Distancia a Escuela Pública,Distancia a Espacio Verde (km),Distancia a Espacio Verde (km),Calles Anegadas,Calles Anegadas,Superficie (m2),Precio M2 (U$S),Ambientes
44,apartment,Puerto Madero,-34.617386,-58.361697,0.52274581,1.28121,1.277924302,1.512141239,0.4421336248,0.0432964,0.6871014,0.17408,0.17408,1.4269988,1.3854438,187,4010.6951872,4
45,apartment,Puerto Madero,-34.611947,-58.361744,0.5570859,1.86581,0.9145570687,1.240521734,0.5625507405,0.5630656,0.7383037,0.2738249,0.1825651,2.0267295,1.980805,176,4488.6363636,3
46,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,4785.7142857,2
47,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,4785.7142857,2
48,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,4985.7142857,2
49,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,50,9960,2
50,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,4428.5714286,2
51,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,5214.2857143,2
52,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,4928.5714286,2
53,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,70,6428.5714286,2
54,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,84,6428.5714286,3
55,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,50,5300,2
56,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,55,5454.5454545,2
57,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,73,4726.0273973,2
58,apartment,Puerto Madero,-34.617915,-58.361766,0.55025157,1.22329,1.318440777,1.487609708,0.466436552,0.1013211,0.7039058,0.2309758,0.2309758,1.367852,1.3265605,115,4347.826087,2
