PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
48,2,760,DIVORCIADO,36217.77108,72191.54875,0
18,1,831,VIUDO,43372.8378,316307.6053,0
48,1,551,DIVORCIADO,83455.46568,746926.4178,0
15,7,887,CASADO,58871.37166,199808.6902,0
48,4,928,DIVORCIADO,72572.29553,123753.0009,0
30,1,413,CASADO,59500,90000,0
48,1,962,CASADO,37260.36181,205863.499,0
24,1,906,SOLTERO,50677.7368,197232.2729,0
36,1,728,VIUDO,44468.57265,58439.19198,0
24,1,578,CASADO,524906.1065,212512.5937,0
36,1,,CASADO,108691.7754,229695.2143,0
36,1,866,DIVORCIADO,42684.66764,76362.47881,0
36,7,782,CASADO,104517.5575,439514.6825,0
24,8,781,CASADO,95481.10672,412572.6834,0
48,6,584,DIVORCIADO,56137.51038,56964.41315,0
30,1,570,CASADO,87658.78797,182622.4749,0
48,1,,CASADO,60317.17446,167970.7828,0
36,2,918,DIVORCIADO,127470.4875,278499.2743,0
48,14,,DIVORCIADO,93980.56164,259614.8112,0
42,3,629,SOLTERO,65647.29584,179855.605,0
25,1,837,SOLTERO,58256.56951,87658.78797,0
24,4,,CASADO,130888.4384,220884.624,0
36,2,,VIUDO,123331.0415,178990.1309,0
36,2,882,SOLTERO,145994.2782,214994.7206,0
36,1,701,CASADO,140451.5051,190874.9478,0
12,1,533,DIVORCIADO,103460.5345,154148.0356,0
48,2,682,DIVORCIADO,120393.9909,150271.5011,0
48,2,,CASADO,372222.1682,244823.3506,1
48,7,688,CASADO,110038.9293,240025.4802,0
48,3,,SOLTERO,199156.6339,223562.1709,0
36,6,486,CASADO,248710.9891,242307.1571,0
24,4,760,SOLTERO,25552.06022,146850.9208,0
36,3,866,CASADO,143720.3743,253890.8821,0
31,7,804,DIVORCIADO,117075.1198,73297.52551,0
24,8,786,DIVORCIADO,98060.17217,63326.00736,0
48,1,482,SOLTERO,300951.3706,253890.8821,0
24,2,926,CASADO,84205.12418,244440.1178,0
48,3,,CASADO,38717.01028,140017.681,0
18,3,647,VIUDO,34096.07853,60576.78927,0
30,2,649,CASADO,97176.21331,243423.5165,0
26,1,302,DIVORCIADO,57764.78684,77277.30681,1
20,6,543,VIUDO,74692.59225,227912.8487,0
30,2,436,SOLTERO,50520.03933,265640.7422,0
12,1,462,SOLTERO,21145.25533,232504.6577,0
18,3,,CASADO,53321.3417,313939.0589,0
24,4,,CASADO,71134.45826,281249.3788,0
36,4,758,CASADO,30880.41534,104840.9163,0
24,5,401,CASADO,72044.56636,130575.0696,0
18,6,739,CASADO,184215.5619,413451.3858,0
17,2,958,CASADO,64283.11118,273933.7124,0
36,2,750,SOLTERO,117898.3758,240181.0082,0
48,2,745,CASADO,482176.1939,444796.5135,0
48,1,635,DIVORCIADO,87411.00369,136012.9725,0
36,3,746,CASADO,123544.1043,186274.9244,0
18,1,926,DIVORCIADO,47938.39967,246540.3412,0
36,1,858,CASADO,98981.38142,213668.2957,0
12,5,868,CASADO,35000.6716,163215.5671,0
20,4,955,CASADO,63800,109000,0
10,5,933,CASADO,49764.62442,99529.24884,0
36,2,,DIVORCIADO,173800,220000,0
48,2,884,CASADO,73100,48000,0
12,1,615,CASADO,18135.06301,217620.7561,0
