id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews
72204;Beautiful house in Palermo SOHO;373629;Daniel;PALERMO;-3.458.902;-5.842.926;Entire home/apt;21645;3;20
73180;Palermo Apt - Las Ca«Òitas area;161327;Mariano;PALERMO;-345.731;-5.843.346;Entire home/apt;2691;28;25
74383;Spectacular Penthouse 2BR with River &Sunrise view;319901;Ralf;PALERMO;-3.458.632;-5.843.241;Entire home/apt;13154;2;46
75094;Amazing apartment in Recoleta;161327;Mariano;RECOLETA;-3.458.875;-5.839.603;Entire home/apt;2691;25;113
75492;Studio Loft in Palermo Soho #1;400828;Jony;PALERMO;-3.458.817;-5.842.003;Entire home/apt;2870;2;302
75526;GUAPO / Amazing Large Studio* with great views.;319901;Ralf;PALERMO;-3.458.256;-5.842.523;Entire home/apt;4185;2;95
76005;Heart of Recoleta, no better place!;315089;Max;RECOLETA;-345.891;-5.839.269;Entire home/apt;2392;5;6
76385;Studio In Downtown Buenos Aires;407702;Ruy;MONSERRAT;-3.461.365;-583.849;Entire home/apt;2691;2;320
77024;Recoleta feliz Juncal 1360 2C;411077;Luz;RETIRO;-345.916;-5.838.571;Entire home/apt;2990;3;21
77404;Beautiful Duplex - Trendy Palermo;161327;Mariano;PALERMO;-3.456.765;-5.843.216;Entire home/apt;3049;20;18
77704;PALERMO SOHO Cheap Little Apt;417020;Jorge Fernando;PALERMO;-3.458.107;-5.842.602;Entire home/apt;2571;7;116
77752;#Nice Sunny Studio  FAST WiFI 10MB with Balcony!;417090;Mateo;RECOLETA;-3.459.069;-5.839.359;Entire home/apt;2392;1;188
77776;BUENOS AIRES, RECOLETA, 2 BEDROOM APT;417598;Rd;RECOLETA;-3.459.002;-5.840.479;Entire home/apt;4484;2;0
77860;Private room with balcony with view;402373;Daniel;PALERMO;-3.457.269;-5.843.395;Private room;3588;2;0
77942;Great room in Alto Palermo area;418692;Juliana;SAN CRISTOBAL;-3.462.364;-5.839.976;Private room;2990;1;1
77994;Studio 1A - Corazon de San Telmo;64880;Elbio Mariano;SAN TELMO;-3.462.128;-5.837.332;Entire home/apt;3588;2;5
78005;SOFA STUDIO, SAN TELMO, 1B;64880;Elbio Mariano;SAN TELMO;-3.461.952;-5.837.123;Entire home/apt;2990;2;15
78009;STUDIO DEFENSA 2A en San Telmo;64880;Elbio Mariano;SAN TELMO;-3.461.914;-5.837.239;Entire home/apt;4185;2;40
78014;STUDIO SOFA CAMA & PATIO;64880;Elbio Mariano;SAN TELMO;-3.462.025;-5.837.252;Entire home/apt;2392;2;24
78068;Lovely Place at a GREAT Location!;419383;Mariana Y Sebas;PALERMO;-3.458.288;-5.840.535;Entire home/apt;2093;3;18
78351;Apt in Palermo, Las Ca«Òitas;420786;Carola;PALERMO;-3.457.521;-5.842.883;Entire home/apt;3707;5;8
78685;Luminous Palermo 1BDR Apartment;419383;Mariana Y Sebas;PALERMO;-3.458.332;-5.840.643;Entire home/apt;2810;2;36
78703;Amazing Studio with Terrace & BBQ;422878;Oscar;RECOLETA;-3.459.477;-5.839.501;Entire home/apt;2870;1;188
79226;Petite Home;426420;Carolina;NU•EZ;-345.522;-5.845.802;Entire home/apt;2332;6;38
79247;Beautiful Apt in great location, 100% Good Reviews;426566;Egle;ALMAGRO;-3.461.964;-5.841.766;Entire home/apt;1375;5;41
79766;Cozy 1Bdr Great Terrace! sun/view!!;422878;Oscar;RECOLETA;-3.459.034;-5.839.767;Entire home/apt;3887;1;169
82623;GARDEN STUDIO FLAT w/swimming pool;449610;Antonio;COLEGIALES;-3.457.361;-5.845.238;Entire home/apt;1614;5;41
83035;Central loc. Entire apt, all incl.;426566;Egle;BOEDO;-3.462.107;-5.841.608;Entire home/apt;1913;5;43
83152;É?? Budda Lounge - Dream View Studio É??;319901;Ralf;PALERMO;-3.458.064;-5.842.367;Entire home/apt;4783;2;87
83440;GREAT! Apartment Alto Palermo;384997;Santiago;PALERMO;-3.459.222;-5.841.285;Entire home/apt;5979;30;4
84033;Great apart with private terrace & chill out area.;458852;Maria;PALERMO;-34.586;-5.842.534;Entire home/apt;3588;2;134
84730;Spotless apt. in a great location, Wi-Fi, balcony!;426566;Egle;ALMAGRO;-3.462.099;-5.841.753;Entire home/apt;1315;5;62
84986;Gorgeous Palermo, Buenos Aires, flatshare.;454822;D. / Lola;PALERMO;-3.457.269;-5.841.869;Private room;837;5;56
85949;Modern & Luminous Apt in GreatLocation!;426566;Egle;ALMAGRO;-3.462.007;-5.841.728;Entire home/apt;1256;5;34
87828;ein Gast allein;480785;Isabel;RETIRO;-3.459.278;-5.838.196;Private room;538;3;1
89374;É?¨ Sunny   1 bedroom + balcony with views;319901;Ralf;RECOLETA;-3.459.307;-5.840.337;Entire home/apt;4484;3;52
89857;Sunny apartment in Buenos Aires;488300;Mariano;BALVANERA;-3.460.236;-5.839.291;Entire home/apt;3588;7;0
91063;Cosy, central apartment in BsAs;492560;Laurence;CABALLITO;-3.461.842;-5.843.194;Entire home/apt;3468;3;54
92228;Depto.en Recoleta-Buenos Aires;494027;Mirta Susana;RECOLETA;-3.458.556;-5.840.495;Entire home/apt;3588;4;0
92689;Stunning 1BD w/terrace in Palermo;488973;Casilda Maria;PALERMO;-3.457.682;-5.840.062;Entire home/apt;4783;2;96
93174;"B&B ""Tucuman 2430""1 room x 1 or 2p";500210;Luciano;BALVANERA;-3.460.193;-5.840.109;Private room;1016;2;10
93619;DEPARTMENT C / CABIN SECURITY;501789;Jessica Emerita;SAN CRISTOBAL;-3.462.583;-5.840.795;Shared room;4185;1;0
94830;Sophisticated Flat in Palermo;505796;Sunshine;PALERMO;-3.457.509;-5.841.869;Entire home/apt;1674;5;7
96103;ROOM PALERMO best location in BA;510708;Alexia;PALERMO;-3.458.187;-5.843.543;Private room;1315;5;56
96257;Lovely apartment in Buenos Aires;320183;Hortensia;RETIRO;-345.981;-5.837.775;Entire home/apt;4185;15;0
96490;AMPLIA habitaci«¸n individual en Buenos Aires;512049;Cristina;PALERMO;-3.458.405;-5.841.106;Private room;1076;6;0
96810;Recoleta Luxury: Design and Style!;508291;Enzo;RETIRO;-3.459.323;-583.867;Entire home/apt;3887;3;33
97043;Downtown 4 blocks away from Obelisk;514200;Ceferina De Jesus;SAN NICOLAS;-3.460.517;-583.884;Entire home/apt;2153;28;9
98934;Monthly Apartment Recoleta;521351;Alfonsina;RECOLETA;-345.899;-5.839.027;Entire home/apt;4185;1;1
99362;Depto Recoleta 3 dormitorios. Balcon y Wifi;417090;Mateo;RECOLETA;-3.459.328;-5.839.443;Entire home/apt;3588;9;15
100080;Great downtown apartment!;526435;Laura;SAN NICOLAS;-3.460.319;-5.838.805;Entire home/apt;1913;3;23
100930;Great location! 1 block from/Abasto Mall;529562;Nila;BALVANERA;-3.460.475;-584.093;Entire home/apt;2990;1;2
104343;Faena Hotel Stunning Views Private Luxury  Suite*;542973;Brigitte;PUERTO MADERO;-3.460.126;-5.835.488;Hotel room;6637;1;139
106475;Artdecohouse Palermo;547581;Carol;RECOLETA;-3.459.045;-5.840.926;Entire home/apt;9567;3;109
107220;Great Private Room!;555337;Anita & Sof«a;ALMAGRO;-3.459.828;-5.841.283;Private room;837;7;5
107259;Great place to 12 Tango lovers;555693;Vittoria;BALVANERA;-3.460.485;-5.839.448;Entire home/apt;23857;3;26
108089;AMAZING PALERMO BEST VALUE w POOL;559463;Martin;PALERMO;-3.458.643;-584.242;Entire home/apt;2212;3;73
108284;Historico y Luminoso Duplex Centro!;560338;Carlos;SAN NICOLAS;-346.019;-5.837.736;Entire home/apt;3289;2;229
111501;Beautiful Apartment Palermo Vip Great location;570921;Emilce;PALERMO;-3.457.808;-5.841.184;Entire home/apt;3289;3;118
111934;Bright Studio at Palermo Soho;570921;Emilce;PALERMO;-3.458.156;-5.842.862;Entire home/apt;2033;3;101
115735;Premium Asian Loft in Buenos Aires;513930;Carlos Alberto;PALERMO;-3.459.046;-5.843.516;Entire home/apt;1555;14;43
117548;"Palermo, Buenos Aires: Complete flat: ""Alma Mia"".";454822;D. / Lola;PALERMO;-3.457.247;-5.841.936;Entire home/apt;3289;56;0
118069;Luxury 1 Bedroom - 1.5 Bath;530261;Luciano;PALERMO;-3.458.014;-5.843.209;Entire home/apt;5381;2;17
118070;Amazing view - GREAT Studio - Balcony;530261;Luciano;PALERMO;-3.458.533;-5.842.802;Entire home/apt;4783;3;40
118724;Department to 5 min to city centre;599519;Angel Francisco;ALMAGRO;-34.6;-5.843.025;Private room;2870;1;0
119036;Amazing duplex in Recoleta;601227;Frederic;RECOLETA;-3.459.078;-5.839.751;Entire home/apt;2392;5;1
119966;Room with library downtown;62183;Sonia;BALVANERA;-3.460.564;-583.994;Private room;2093;3;0
120874;Luxury 1 Bedroom - 1.5 Bath;530261;Luciano;RECOLETA;-345.911;-5.839.978;Entire home/apt;5979;2;9
122328;Urban Mexican Apart in Buenos Aires;513930;Carlos Alberto;PALERMO;-3.458.843;-5.843.585;Entire home/apt;2990;14;28
122907;Spotless entire apt. Ideal location;426566;Egle;ALMAGRO;-3.461.879;-5.841.556;Entire home/apt;1794;7;15
125123;Beautiful room in Ap. near palermo;622759;Barbara;COLEGIALES;-3.457.353;-5.845.365;Private room;1076;3;3
127822;Barrancas Home, in Belgrano. Sunny full apartment.;632638;Mima;BELGRANO;-3.456.286;-584.543;Entire home/apt;29896;2;8
129009;Tango Studio:Charming private room;637123;CristianyMichaela;CONSTITUCION;-3.462.971;-5.838.103;Private room;1794;5;15
129681;Studio Rojo Design Belgrano - 2 Pax;638545;Luisa;BELGRANO;-3.455.673;-5.845.676;Entire home/apt;2691;5;14
129900;Barrancas Home: Nice room + priv. bath sing/dbl;632638;Mima;BELGRANO;-3.456.098;-5.845.442;Private room;1495;2;22
129932;Palermo View Studio at Palermo Uno Tower;319901;Ralf;PALERMO;-3.458.264;-5.842.451;Entire home/apt;4783;2;108
130248;Small charmy and fully at Palermo;641573;Paula;PALERMO;-3.457.693;-5.841.193;Entire home/apt;1674;2;66
130275;Van Gogh s apart at Palermo;641573;Paula;PALERMO;-3.457.675;-5.841.068;Entire home/apt;2212;2;14
130349;alquilo por noche,o semana;641884;Marcelo;SAN NICOLAS;-3.460.462;-5.837.764;Private room;5979;1;0
130424;Palermo Holly New Studio Apt - 4th floor - 33 m2;642182;Aike;PALERMO;-3.457.935;-5.843.484;Entire home/apt;3229;3;9
131145;DONDE VIVI (1) Rooms for Rent .;645495;Viviana;ALMAGRO;-3.460.818;-5.841.911;Private room;1196;3;38
131807;Belgrano R, Private Room, Sunny ;648231;Vero;VILLA ORTUZAR;-345.771;-584.694;Private room;2093;1;0
132298;Urban Escape É?? Studio with great views;319901;Ralf;RECOLETA;-3.459.307;-5.840.359;Entire home/apt;3887;2;112
133043;Great Studio - Roof top Pool;530261;Luciano;RECOLETA;-3.459.211;-5.840.163;Entire home/apt;4185;3;15
133654;Modern and Comfortable. Central location.Fast WiFi;426566;Egle;ALMAGRO;-3.461.943;-5.841.566;Entire home/apt;1375;4;36
136986;Buena Vista - Panorama Riverviews É??É??É??É??É??;319901;Ralf;PALERMO;-3.458.092;-5.842.483;Entire home/apt;7175;2;128
137017;Soho Sunset studio  with amazing views.;319901;Ralf;PALERMO;-3.458.286;-5.842.388;Entire home/apt;5381;2;181
138690;Art Studio Hidden in the Quietest part of Recoleta;676972;Fabiana;RECOLETA;-3.459.092;-5.839.503;Entire home/apt;2571;2;232
140142;Great 2 Bedroom/2 Bath Recoleta!;530261;Luciano;RECOLETA;-3.459.327;-5.839.631;Entire home/apt;9268;2;27
140271;Boedo, quiet wooded neighborhood;683383;Lorena;BOEDO;-346.317;-5.841.718;Private room;2990;1;0
143173;HabitacionPrivate Rooms in Congreso;499278;Nicolas;BALVANERA;-3.460.735;-584.029;Private room;1794;5;0
143211;Nice and bright studio in Recoleta;695054;Patricia;RECOLETA;-3.458.769;-583.999;Entire home/apt;1196;2;3
143663;Apartement Buenos Aires;696693;Marcela;MONSERRAT;-3.461.297;-5.838.701;Entire home/apt;2691;3;0
144192;Beautiful apartment in Buenos Aires;698994;Ruben;NUEVA POMPEYA;-3.464.889;-5.840.792;Private room;2990;1;0
144827;LEMON TREE É?? 1 bedroom with great views;319901;Ralf;RECOLETA;-3.459.468;-5.840.493;Entire home/apt;5381;2;42
146648;Éùœ  Large  Sunset View Studio with balconyÉùœ11 floor;319901;Ralf;RECOLETA;-3.459.435;-5.840.521;Entire home/apt;3588;3;101
148284;Sunny Terrace Apart. in Downtown BA;407702;Ruy;MONSERRAT;-3.461.348;-5.838.326;Entire home/apt;2511;2;258
150594;Departamento Parque chacabuco;716702;Eugenia;PARQUE CHACABUCO;-3.463.438;-5.844.546;Private room;9208;7;0
152044;Charming 2BRApt in Upscale Recoleta;731684;Irma;RECOLETA;-345.841;-5.839.924;Entire home/apt;2990;2;66
